,Time,U_mpers,V_mpers,date,ws_mpers_CTRL,ws_dir_degree_CTRL,dirn_CTRL,scenario
4902,6,6.708470299999999,-3.088937,2006-03-01,7.385465832021097,65.27613922486677,West,CTRL
4903,7,5.743972,-0.47242892,2006-03-01,5.76336736823503,85.29813276185247,West,CTRL
4904,8,7.521184,0.6669549,2006-03-01,7.550697822088367,95.06755389967965,West,CTRL
4905,9,6.6884303,0.92398214,2006-03-01,6.751951041957952,97.86541851325651,West,CTRL
4906,10,5.722915599999999,1.8437228,2006-03-01,6.0125765465367005,107.85712105724673,West,CTRL
4907,11,3.496385,1.6108958999999998,2006-03-01,3.8496355241583338,114.73702892571103,South_West,CTRL
4908,12,0.5733106,3.7973285,2006-03-01,3.840363105356655,171.41447636973888,South,CTRL
4909,13,-4.9752207,5.4320803,2006-03-01,7.3661602887363635,222.4864441575797,South_East,CTRL
4910,14,-3.9381204,1.1992491000000003,2006-03-01,4.116672283379741,253.06329005316675,East,CTRL
4911,15,-6.5627418,1.2177715,2006-03-01,6.674769461163396,259.48785284873,East,CTRL
4912,16,-4.7915907,-1.947736,2006-03-01,5.172331868898446,292.1212739476142,East,CTRL
4913,17,-5.6239724,-3.1005676,2006-03-01,6.422039006276085,298.86850769682354,North_East,CTRL
4914,18,-11.529863,-5.708239,2006-03-01,12.865524990449867,296.33922886671036,North_East,CTRL
4915,19,-8.149122,-4.856309,2006-03-01,9.486407458799405,300.79199671070205,North_East,CTRL
4916,20,-5.903190599999999,-5.036169999999999,2006-03-01,7.75955330729987,310.4683828522491,North_East,CTRL
4917,21,-5.535205,-4.4114556,2006-03-01,7.078095429054088,308.55419476158215,North_East,CTRL
4918,22,-4.379364,-5.160753700000001,2006-03-01,6.768471599745373,319.68239700257743,North_East,CTRL
4919,23,-3.87007,-5.03275,2006-03-01,6.348701785987432,322.4405366505242,North_East,CTRL
4464,0,0.75767624,-6.2239795,2006-03-02,6.26992775884067,6.9407510951865135,North,CTRL
4465,1,1.2181427,-5.27036,2006-03-02,5.409303667493931,13.014285991780866,North,CTRL
4466,2,6.4848666,-9.004464,2006-03-02,11.09657004425654,35.76081173979656,North_West,CTRL
4467,3,5.892464,-11.043675,2006-03-02,12.517343547930647,28.082600101597485,North_West,CTRL
4468,4,7.3593035,-8.522015,2006-03-02,11.259844033792708,40.81270179564412,North_West,CTRL
4469,5,7.127758,-8.226782,2006-03-02,10.885075846409523,40.90595151214438,North_West,CTRL
4470,6,4.5039597,-9.79126,2006-03-02,10.777496247590351,24.702334115642614,North_West,CTRL
4471,7,4.3867980000000015,-8.441496,2006-03-02,9.513298660865223,27.459577279390665,North_West,CTRL
4472,8,5.700287,-7.70344,2006-03-02,9.583123693032924,36.50019828200479,North_West,CTRL
4473,9,6.061277,-6.758991,2006-03-02,9.078713466610234,41.88488025295949,North_West,CTRL
4474,10,6.5973682,-6.316225,2006-03-02,9.13345309381924,46.2471954366498,North_West,CTRL
4475,11,7.475316,-3.837555000000001,2006-03-02,8.402807725866456,62.825687189367656,West,CTRL
4476,12,10.0408535,-2.7245321,2006-03-02,10.403932630135236,74.81864006048936,West,CTRL
4477,13,5.3731303,-7.868753999999999,2006-03-02,9.528264203583676,34.32697496502435,North_West,CTRL
4478,14,7.302868400000001,-6.0041175,2006-03-02,9.454169123805901,50.57436605631448,North_West,CTRL
4479,15,8.03788,-4.2549915,2006-03-02,9.094639495849863,62.104715207033124,West,CTRL
4480,16,2.8871546,-4.2853165,2006-03-02,5.167165488880089,33.96940772943425,North_West,CTRL
4481,17,6.732997999999999,-3.7609782,2006-03-02,7.712212334270837,60.81275751665423,West,CTRL
4482,18,6.2367415,-2.6816087000000004,2006-03-02,6.7888121021087295,66.73376944594285,West,CTRL
4483,19,6.7180834,-2.173278,2006-03-02,7.060862683457282,72.07377544407004,West,CTRL
4484,20,5.4726550000000005,-2.960938,2006-03-02,6.22230717570814,61.58473587445576,West,CTRL
4485,21,6.0475426,-0.89293414,2006-03-02,6.113109100710726,81.60082758736485,West,CTRL
4486,22,3.8317711,-1.8629749,2006-03-02,4.260650800150749,64.07136866584342,West,CTRL
4487,23,4.546217,-3.6509256,2006-03-02,5.830724375909425,51.23313478360515,North_West,CTRL
504,0,6.5396237,-3.76442,2006-03-03,7.5456965267628995,60.0738702005807,West,CTRL
505,1,6.0105,-3.3641481,2006-03-03,6.887931669865317,60.76374336737581,West,CTRL
506,2,1.4170728,-4.876848000000002,2006-03-03,5.078557052510472,16.202356162807774,North,CTRL
507,3,-0.2934445,-3.0619962000000003,2006-03-03,3.0760250979786705,354.5258125125748,North,CTRL
508,4,-1.1950058,-3.338585,2006-03-03,3.5460102459325524,340.30579115116757,North,CTRL
509,5,-1.9070841,-5.297776,2006-03-03,5.630577262648014,340.202227180149,North,CTRL
510,6,-4.830206,-6.96172,2006-03-03,8.473277722395036,325.24617201660817,North_East,CTRL
511,7,-3.9594173,-6.818056599999999,2006-03-03,7.884344053651061,329.8551848620135,North_East,CTRL
512,8,-3.0435498,-8.034896,2006-03-03,8.592016591923926,339.2537414473967,North,CTRL
513,9,-1.9491875,-8.589825999999999,2006-03-03,8.808203143685562,347.2150528900647,North,CTRL
514,10,-4.359186599999999,-8.600780499999999,2006-03-03,9.642402865613933,333.1224597232009,North_East,CTRL
515,11,-3.731861,-8.749957,2006-03-03,9.512546137873393,336.901728212835,North_East,CTRL
516,12,-3.3714676,-7.7121176999999985,2006-03-03,8.416861243747755,336.38673678233414,North_East,CTRL
517,13,-3.145668,-7.973538,2006-03-03,8.571612182294997,338.47009875168783,North,CTRL
518,14,-2.8130182999999995,-7.818399,2006-03-03,8.309057400170966,340.211539036058,North,CTRL
519,15,-3.3165355000000005,-7.64135,2006-03-03,8.330044270306146,336.53796018431746,North_East,CTRL
520,16,-3.8417282,-7.0534277,2006-03-03,8.031794188212404,331.4245857043126,North_East,CTRL
521,17,-4.2887654,-8.567097,2006-03-03,9.580639835817134,333.4070435906965,North_East,CTRL
522,18,-2.8231945,-8.057495,2006-03-03,8.537777981410342,340.69050018992596,North,CTRL
523,19,-2.6704267999999995,-7.863575999999999,2006-03-03,8.304637668311257,341.2427976599424,North,CTRL
524,20,-2.3103895,-7.348739599999999,2006-03-03,7.703367662932777,342.5472371114844,North,CTRL
525,21,0.023102589,-7.026894599999999,2006-03-03,7.026932577528238,0.18837283773068236,North,CTRL
526,22,-2.2998035,-6.8198256,2006-03-03,7.197160367327354,341.36469948592554,North,CTRL
527,23,-0.66265464,-6.926354400000001,2006-03-03,6.9579807736377735,354.53506053941203,North,CTRL
5400,0,-1.696013,-6.3548675,2006-03-04,6.577294355487312,345.0569533129747,North,CTRL
5401,1,-1.0421603000000002,-6.357346499999999,2006-03-04,6.442200913659735,350.69030250708545,North,CTRL
5402,2,-0.6529881999999999,-5.6313305,2006-03-04,5.6690631315561735,353.3857331863666,North,CTRL
5403,3,-1.4568179,-4.7402287,2006-03-04,4.959040887315218,342.9161986159835,North,CTRL
5404,4,-3.341518,-5.0849247,2006-03-04,6.084587229138398,326.6894002260677,North_East,CTRL
5405,5,-2.6382182000000003,-3.2146716,2006-03-04,4.15864265916871,320.6249425061333,North_East,CTRL
5406,6,-2.8260717,-1.1542456,2006-03-04,3.0526978492245593,292.2164583348099,East,CTRL
5407,7,-3.1051075,-0.24410272,2006-03-04,3.1146875805556564,274.4949653056008,East,CTRL
5408,8,-3.289228,1.015999,2006-03-04,3.442568053646144,252.834773523731,East,CTRL
5409,9,-3.6124134,1.3657472,2006-03-04,3.8619678904423065,249.28986999176706,East,CTRL
5410,10,-4.67157,1.5843241,2006-03-04,4.932914870412909,251.26606049170292,East,CTRL
5411,11,-5.801881,0.8858697,2006-03-04,5.869121592158326,261.3187483459084,East,CTRL
5412,12,-3.934877,1.0227993,2006-03-04,4.065633457803284,255.4294489381713,East,CTRL
5413,13,-4.5355463,2.4721198,2006-03-04,5.165516096673762,241.4072096456829,South_East,CTRL
5414,14,-4.994339,2.0855112,2006-03-04,5.412280389285688,247.33580355813595,East,CTRL
5415,15,-4.930344,1.6012688,2006-03-04,5.183855102931547,252.00732749432012,East,CTRL
5416,16,-5.0379963,1.8409338,2006-03-04,5.363808719072309,249.9271953135808,East,CTRL
5417,17,-4.399393,1.5922221,2006-03-04,4.678656856852981,250.103868261356,East,CTRL
5418,18,-3.9722738,1.3060877,2006-03-04,4.181485886889699,251.79908197356028,East,CTRL
5419,19,-4.3536835,1.0368124,2006-03-04,4.475437405546637,256.6047487561658,East,CTRL
5420,20,-3.5510206,1.3433447,2006-03-04,3.7966198498983874,249.27845980379587,East,CTRL
5421,21,-3.3538818,1.7639242,2006-03-04,3.7894526928986565,242.25854201022906,South_East,CTRL
5422,22,-3.0933948,1.6176648,2006-03-04,3.4908352573311277,242.39306066524475,South_East,CTRL
5423,23,-2.8584127,2.0028167000000003,2006-03-04,3.4902432432883788,234.98205365040585,South_East,CTRL
8160,0,-3.6393814,2.1882253,2006-03-05,4.246578262345586,238.98306478299727,South_East,CTRL
8161,1,-3.3856568,2.5800266,2006-03-05,4.256666445012318,232.69092789991126,South_East,CTRL
8162,2,-3.6863256,2.5139203,2006-03-05,4.461926904821218,235.70764334802752,South_East,CTRL
8163,3,-3.4217303,2.343018,2006-03-05,4.147043717428367,235.5987418494837,South_East,CTRL
8164,4,-3.3254738,2.3910723,2006-03-05,4.095851894089156,234.2832216773772,South_East,CTRL
8165,5,-3.5734,2.0975003,2006-03-05,4.143512407185489,239.58808556656578,South_East,CTRL
8166,6,-3.9079208,1.556495,2006-03-05,4.206485666693474,248.28298543875422,East,CTRL
8167,7,-3.740943,1.2768617,2006-03-05,3.9528509117061184,251.1541589341627,East,CTRL
8168,8,-5.3447165,0.224304,2006-03-05,5.349421160255401,267.59685374809476,East,CTRL
8169,9,-2.701066,1.1710875,2006-03-05,2.9440114587094,246.56013626613912,East,CTRL
8170,10,-2.5520394,-0.7532626,2006-03-05,2.660885124110231,286.44454700748076,East,CTRL
8171,11,-1.5125468,-0.6127533000000001,2006-03-05,1.6319511110481004,292.0535395485406,East,CTRL
8172,12,-1.1468451000000002,-0.19061494,2006-03-05,1.1625780570547573,279.4367562340579,East,CTRL
8173,13,-0.1683887,0.67178977,2006-03-05,0.6925721979435377,194.07165830410725,South,CTRL
8174,14,1.6317055,2.1421614,2006-03-05,2.6928271950461675,142.7031172368521,South_West,CTRL
8175,15,1.1861184,2.9145176,2006-03-05,3.1466314845447534,157.8551991584892,South,CTRL
8176,16,2.9756825,3.2413564,2006-03-05,4.40012245882171,137.4469426400644,South_West,CTRL
8177,17,2.8539896,3.6407223,2006-03-05,4.626025886506198,141.90683559809725,South_West,CTRL
8178,18,4.052142,4.9652596,2006-03-05,6.4088733552439745,140.7821596616489,South_West,CTRL
8179,19,4.4299393,5.991077,2006-03-05,7.450997639350954,143.51993178934913,South_West,CTRL
8180,20,5.4922905,6.485713,2006-03-05,8.49880744897537,139.7411027481141,South_West,CTRL
8181,21,5.1122904,6.643978999999999,2006-03-05,8.383195696533223,142.42307988158578,South_West,CTRL
8182,22,6.028928,6.967944999999999,2006-03-05,9.214132099780693,139.1324084966493,South_West,CTRL
8183,23,6.205536,2.4038634,2006-03-05,6.654865610450415,111.17507324515847,West,CTRL
1032,0,2.7284274,-3.1414049,2006-03-06,4.160858183453838,40.97553381744981,North_West,CTRL
1033,1,7.619896400000001,-0.86076725,2006-03-06,7.668359759779501,83.55501159138785,West,CTRL
1034,2,1.623584,-3.4492812000000006,2006-03-06,3.8122914109141033,25.206465863607747,North_West,CTRL
1035,3,2.2754226,-9.80452,2006-03-06,10.065096146534854,13.065842880392808,North,CTRL
1036,4,7.561439999999998,-5.37297,2006-03-06,9.276000296167524,54.6033517361833,North_West,CTRL
1037,5,6.6328535,-5.190501,2006-03-06,8.422353957384079,51.95524944238266,North_West,CTRL
1038,6,7.856631299999999,-6.2175074,2006-03-06,10.019184280828176,51.64294229629869,North_West,CTRL
1039,7,7.8323708,-3.167606,2006-03-06,8.448654337817866,67.9803644428124,West,CTRL
1040,8,5.989229,-6.1513495,2006-03-06,8.585450756110086,44.23494021657377,North_West,CTRL
1041,9,4.4084015,-9.1307,2006-03-06,10.139215269201173,25.771756888905358,North_West,CTRL
1042,10,4.02206,-9.442107,2006-03-06,10.263057597180724,23.07257888558935,North_West,CTRL
1043,11,5.2773137000000006,-11.032481,2006-03-06,12.229704694045916,25.563810175602327,North_West,CTRL
1044,12,5.464802,-11.354839,2006-03-06,12.601445536728118,25.700356565733088,North_West,CTRL
1045,13,5.333550499999999,-11.88252,2006-03-06,13.024632143997398,24.173254117436798,North_West,CTRL
1046,14,3.5598410000000005,-11.65984,2006-03-06,12.191158139031788,16.977843261073488,North,CTRL
1047,15,2.352025,-13.991804,2006-03-06,14.188114771703852,9.542218914702346,North,CTRL
1048,16,2.2749882,-13.07191,2006-03-06,13.2683986357902,9.872667293691379,North,CTRL
1049,17,0.8405309000000001,-12.771035,2006-03-06,12.798665054023399,3.765514478806736,North,CTRL
1050,18,0.53981304,-12.790964,2006-03-06,12.802349712746096,2.416601774992685,North,CTRL
1051,19,1.0565892,-12.535591,2006-03-06,12.580040638123457,4.817909989090907,North,CTRL
1052,20,-0.28489986,-12.672495,2006-03-06,12.675697119103667,358.71210757930953,North,CTRL
1053,21,-1.9394703,-12.406855,2006-03-06,12.55753144672977,351.1152872586441,North,CTRL
1054,22,-1.6733378,-10.517843,2006-03-06,10.650121162013033,350.9602802606191,North,CTRL
1055,23,-2.6865635,-8.257284,2006-03-06,8.683338211551376,341.9773502114329,North,CTRL
3720,0,-2.8497548,-6.3837614,2006-03-07,6.9909593070088025,335.9436884195184,North_East,CTRL
3721,1,-5.0839844,-4.607867,2006-03-07,6.861438309067011,312.1875750618906,North_East,CTRL
3722,2,-4.265749,-3.2294135,2006-03-07,5.35030149477422,307.1277835322387,North_East,CTRL
3723,3,-4.1361485,-1.276514,2006-03-07,4.328650182937893,287.1514726162081,East,CTRL
3724,4,-4.1156125,-0.13565704,2006-03-07,4.117847627421128,271.8878752092694,East,CTRL
3725,5,-2.870318,0.29999882,2006-03-07,2.8859529991192496,264.0332450902887,East,CTRL
3726,6,-2.9749846,1.5352687,2006-03-07,3.347772894244299,242.703579309095,East,CTRL
3727,7,-2.1936736,1.9807731,2006-03-07,2.9556159995879994,227.91960615665437,South_East,CTRL
3728,8,-1.8678002,2.8107224,2006-03-07,3.374735248427912,213.6051007694792,South_East,CTRL
3729,9,-0.99334574,3.5245168,2006-03-07,3.66182392158039,195.73989817321524,South,CTRL
3730,10,-0.69704473,4.167811,2006-03-07,4.225697562218784,189.4945486959778,South,CTRL
3731,11,-0.7560543000000001,4.6643360000000005,2006-03-07,4.725214114243343,189.20714240979186,South,CTRL
3732,12,-0.41330618,5.0775495,2006-03-07,5.094343031576932,184.65354515042714,South,CTRL
3733,13,0.14762631,5.422924,2006-03-07,5.424933016838108,178.44064272020302,South,CTRL
3734,14,0.06846111,5.871788,2006-03-07,5.872187091750946,179.33199990611058,South,CTRL
3735,15,-0.12434077,6.418677,2006-03-07,6.419881233902477,181.1097786027608,South,CTRL
3736,16,-0.0032645494,6.6053967,2006-03-07,6.605397506710227,180.02831698017513,South,CTRL
3737,17,-0.20315701,7.3319990000000015,2006-03-07,7.334813024659399,181.5871608479128,South,CTRL
3738,18,0.3141256,7.841777,2006-03-07,7.848066093650356,177.706074329191,South,CTRL
3739,19,0.4896838,7.9832683000000015,2006-03-07,7.998272499344302,176.48994549503888,South,CTRL
3740,20,-0.47854632,8.321541,2006-03-07,8.335289508773318,183.291279740677,South,CTRL
3741,21,-0.33470938,8.526302000000001,2006-03-07,8.532869163667284,182.24805465035547,South,CTRL
3742,22,0.19074258,8.98536,2006-03-07,8.9873843281249,178.78389918396488,South,CTRL
3743,23,-0.5288829,9.118374,2006-03-07,9.133699224618052,183.3195441151516,South,CTRL
1728,0,0.81776655,9.321677,2006-03-08,9.357478518416587,174.986425208333,South,CTRL
1729,1,-0.17806078,10.153372,2006-03-08,10.154933215524276,181.00469927574426,South,CTRL
1730,2,-2.013109,9.715043,2006-03-08,9.921424713100937,191.70690083325258,South,CTRL
1731,3,-2.2815356,9.885788,2006-03-08,10.14564976110507,192.9957168246877,South,CTRL
1732,4,-2.3683176,9.949209,2006-03-08,10.227203331319407,193.389545596679,South,CTRL
